,lon,lat,depth
0,-72.8849,40.7383,1.66748529423741
1,-72.842468,40.750054,1.50064081959081
2,-72.80458,40.7705,2.30197103438071
3,-72.804,40.7778,2.187709023545089
4,-72.7849,40.7542,5.105706802599471
5,-72.7556,40.762,7.377055227142931
6,-72.7533,40.7699,5.270145752609958
7,-72.7484,40.7846,1.19785033079416
8,-72.747701,40.798979,2.15084589703098
9,-72.72677,40.807085,2.01798358923644
10,-72.7147,40.7733,4.701956752896026
11,-72.7,40.795,2.07019632779434
12,-72.68511,40.78932,1.627066302957848
13,-72.66966,40.800957,1.792857436166545
14,-72.889867,40.716171,10.13552331337903
15,-72.873377,40.721688,10.10486075830058
16,-72.883003,40.725237,3.72368020063808
17,-72.856583,40.726645,10.641660915069
18,-72.866265,40.73033,4.32605584884285
19,-72.839624,40.73127,10.40006634038671
20,-72.849449,40.735275,4.00822832316839
21,-72.822906,40.736379,9.951106024977728
22,-72.832732,40.740412,4.160505393761985
23,-72.806151,40.741422,10.62849359932437
24,-72.81596,40.745447,2.824708033091464
25,-72.789299,40.746276,10.50774838702299
26,-72.79923,40.750562,3.68643174680862
27,-72.772359,40.750952,10.19114266828984
28,-72.78222,40.754953,4.70442216840008
29,-72.755262,40.755287,8.159715657359598
30,-72.764499,40.757138,3.858620502594692
31,-72.738444,40.760211,9.82385326786676
32,-72.747865,40.76241,4.47919838752077
33,-72.721846,40.765552,9.74846772094096
34,-72.731751,40.768554,3.951846872337175
35,-72.704609,40.769529,10.38921642659615
36,-72.715035,40.7737,3.749607630005649
37,-72.687713,40.774294,9.9901923284454
38,-72.698035,40.778284,4.251479926510171
39,-72.670915,40.77927,9.338425841925108
40,-72.680904,40.782577,3.897884842247824
41,-72.654079,40.784175,10.02507656308338
42,-72.66398,40.787327,3.382222013184886
43,-72.637416,40.789409,9.17214773664843
44,-72.64698,40.791922,4.130972622707729
45,-72.75,40.786667,1.38732847845105
46,-72.868333,40.738333,2.949012507902048
47,-72.6472,40.7182,29.75477625981574
48,-72.88957,40.76029,0.3025495363644516
49,-72.88692,40.75291,1.78320724494095
50,-72.8828,40.7436,1.213276491689292
51,-72.88759,40.72354,3.60795926526834
52,-72.86123,40.73231,3.491067158491614
53,-72.87284,40.72826,4.314609813191121
54,-72.84894,40.73582,3.309270195862659
55,-72.83246,40.74084,3.58266829794827
56,-72.81632,40.74609,1.83990441996731
57,-72.79834,40.75221,1.977968752731682
58,-72.77391,40.75881,1.609578264343081
59,-72.76157,40.76204,1.4237930316875
60,-72.7545,40.7653,6.151253316655443
61,-72.74273,40.76618,3.59716370025874
62,-72.72731,40.77071,3.78398725352237
63,-72.71131,40.77471,3.809883456155255
64,-72.69646,40.77886,3.65935264319116
65,-72.68056,40.78372,1.77593512746569
