,inundation,total_island_breached
2,41.032008,76.84160694036177
3,39.192984,74.51310675870573
7,38.93994,74.82687628673031
20,41.427612,80.38995497132036
28,42.197436,81.95549977430613
30,40.506804,76.75022844623531
46,42.35328,83.56508240578657
58,39.995532,77.15978025123582
69,37.926468,71.8179916548315
72,41.953464,78.98294635091544
75,35.857728,72.6701236362035
89,38.215152,75.82873688498421
104,37.887912,71.55926941242528
119,40.834692,78.23760610364303
122,43.264044,85.60403386509012
129,43.001604,84.09463729343506
132,38.413116,75.5457938369059
134,41.461632,78.14072288095474
135,38.681712,73.23380784093536
142,37.674396,71.66606114652487
145,39.115224,76.3880173068666
149,39.145032,77.64970109323909
155,38.230056,76.49480904096619
163,39.60414,78.63835034294459
169,42.622848,81.58778390637558
173,39.118464,73.58500952318042
178,45.174672,88.36960949455582
183,43.246872,85.80660787616563
187,36.326232,69.75151655271878
200,42.560316,83.19626559214365
207,35.52336,68.852043905715
219,41.556564,79.87361143222029
221,40.22784,77.73337296737898
227,35.747568,66.73602624654579
231,38.516148,74.93807180367936
237,42.621552,83.84472261672778
255,40.421592,80.52647223965387
287,40.86612,78.32788365205712
288,39.765492,77.63648974469068
305,40.481208,79.44754544153427
308,39.065328,76.3913201440037
1,23.305644,58.37874734396847
2,21.45528,57.23046096596976
3,21.620196,56.987151963536675
4,23.917032,59.904658101309025
5,19.527156,52.74080435093745
8,23.753088,59.170327311160285
10,24.56082,60.649998348581434
11,23.388588,58.6440752606489
15,23.9031,60.70944941704924
21,21.164976,56.079972696546335
24,23.339988,59.050324228512295
25,24.70662,59.08445354559567
29,23.646492,58.858759674560446
30,22.410432,57.54863427684381
33,23.98086,59.779150290099196
36,18.204912,53.228523301516006
38,24.250752,60.78431372549019
40,21.830472,57.75230923363169
41,23.364288,59.809976770045466
42,23.748552,57.39450187711243
43,22.372524,57.125871123294914
46,23.294628,59.30464268806905
47,23.631912,60.10282832953507
48,22.991364,58.18057711574242
53,25.034184,60.43091015182041
54,20.54484,56.27263819621054
57,22.531284,58.107914698726205
59,22.79664,57.6587288480805
61,20.587284,55.51408660038973
62,24.856632,61.640849489711655
65,21.569328,55.594455637392514
66,20.886012,55.802534377029865
68,21.673008,57.79744800783874
69,21.567708,56.85283658662791
76,20.95794,57.22495623740793
77,22.68648,58.80811617179157
78,21.33054,57.32183946009622
81,21.652596,57.7919432792769
82,22.280184,56.289152381896045
84,22.894488,57.662031685217606
85,24.464916,60.2415474892933
86,20.763864,55.9280421882397
89,23.494536,58.74866510332376
91,23.077224,56.923297112219394
92,22.750632,58.41507855247657
93,24.873804,60.57623498585285
94,20.023848,53.66780064075041
95,24.310044,60.192004932236784
96,21.32568,56.553379352864106
101,21.9591,57.32734418865806
103,22.84524,58.76517928900926
104,22.551696,57.88662461054045
105,22.24584,58.36993977826953
108,20.655972,56.7966883552972
111,22.626864,59.0866554370204
113,20.662452,55.795928702755674
114,23.270976,58.60554216071605
115,22.56984,58.09250145875306
117,21.580992,57.20073543173586
121,21.62376,56.87375455516288
122,23.695416,59.5358412876661
123,24.674868,59.9619072783521
124,24.56406,62.03829089187612
125,22.795668,57.53322103687067
126,21.665232,57.09174180621154
127,23.160816,57.034492629168454
128,24.839136,61.300657264590285
129,23.545728,58.57251378934505
131,22.822884,58.10351091587673
132,21.211956,57.21394678028426
133,21.575808,55.45353458620955
135,20.207232,53.922119100307164
137,22.946004,57.3922999856877
139,22.24746,57.92846054761039
141,21.099852,55.795928702755674
142,22.319388,58.756371723310316
144,23.630292,58.98316654005791
146,19.542384,55.53280267749997
148,22.964796,58.007728638900815
149,22.987476,58.096905241602535
150,21.352572,56.116303905054444
151,24.07644,61.32157523312526
152,23.59368,59.912364721295596
153,20.85426,54.747828384582355
154,21.329244,55.710054937191046
155,21.590064,57.33615175435699
156,22.166136,58.00112296462662
160,23.951052,60.190903986524425
161,23.575536,60.30099855776112
162,20.295684,54.01239664872125
164,20.921976,54.417544670872275
169,23.073336,57.079631403375494
4,32.628744,68.62414814325506
6,31.555008,66.88575486342768
8,32.123952,66.53455318118263
11,27.00054,57.190826920324554
12,32.532192,70.02675298081051
16,30.342924,63.80861159736213
19,33.176628,70.86567361363412
20,30.920616,64.07724235117966
21,31.725108,67.33053693122392
25,28.028268,58.88518237165725
26,31.003884,65.05378119804912
27,31.367088,65.81453468529467
28,30.70872,65.53489447435346
31,30.83832,65.56792284572448
34,30.5775,63.60053285772479
36,29.806056,64.23798042518524
37,31.7439,65.60425405423258
38,30.142368,64.22146623949972
39,32.833836,68.92140348559413
40,33.080724,69.06232453677708
43,30.220776,63.10290539573493
44,32.888268,68.93131199700542
45,30.975372,65.60865783708205
47,30.514968,64.0860499168786
49,31.094604,64.50991401613987
51,29.22804,60.5542160716055
54,33.365196,70.62786933976287
55,30.572316,63.659983926192595
57,30.253824,63.74585769175722
59,30.264192,65.02625755523995
60,32.102892,67.08722792879082
61,30.864888,65.2277306206031
62,32.91354,68.67148880888683
63,30.493584,63.15685173564092
65,32.80176,68.78048243441116
66,29.734452,61.65516178397243
67,31.817772,66.14151556186765
69,30.785184,64.0728385683302
70,31.45554,65.9928878906981
71,30.480948,63.946229811407996
72,31.99662,68.22780768680296
73,32.420412,67.37237286829387
74,30.738528,64.28091730796754
75,32.619348,67.84467857889928
78,32.663412,68.79259283724718
80,32.16348,67.00465700036331
83,31.476276,64.80056368420473
86,32.018004,66.87474540630402
87,31.08132,66.56097587827944
89,31.80384,65.9598595193271
91,31.416012,65.61085972850678
93,28.11186,58.47012583809492
95,30.340656,64.32825797359932
96,31.15584,65.86077440521409
98,32.396112,67.76430954189648
99,31.833,67.16429412865652
100,29.967408,62.04489656615032
102,32.411016,68.18266891259593
103,32.034528,68.51405357201837
109,30.166668,61.82470742367694
110,31.290948,65.8299479252678
112,32.793984,69.51701511598462
115,31.852116,65.91912452796953
117,32.227308,69.00947914258347
118,30.238596,62.5017890367826
120,31.816152,67.21163479428829
122,31.75362,66.52464466977133
125,31.357044,65.68132025409827
127,30.850956,64.83028921843864
128,31.86216,66.51253426693529
129,33.11928,69.71298345278595
131,31.155516,66.00830113067124
132,31.574124,65.43250652310336
134,30.952692,66.6424458609946
136,28.804896,58.90169655734275
138,32.502708,68.62194625183032
140,32.602176,68.85424579713974
142,31.804812,66.02701720778148
143,32.700348,68.67038786317447
144,31.657392,64.64312844733627
147,33.164964,69.19663991368586
148,32.163804,68.92360537701886
150,31.24818,65.82224130528124
151,32.177088,68.14743864980018
153,31.569912,65.72095429974348
154,31.527144,67.3745747597186
155,31.882896,66.27803283020114
156,30.968892,63.89448536292676
157,31.310064,65.33342140899032
158,32.596668,68.45680439497528
159,31.583844,65.0846076779954
160,31.421196,65.52608690865453
161,28.985688,60.14466426660502
162,31.775652,67.63329700212482
163,33.15816,69.50600565886096
164,31.310388,65.70223822263324
165,31.090068,64.76753531283373
168,32.74182,68.15954905263621
169,32.183244,66.27693188448877
172,30.393468,63.075381752925765
173,30.594024,63.22731226123239
182,31.787964,66.87364446059165
183,30.014712,62.162697757373586
189,32.222124,66.94630687760787
191,31.911732,66.6094174896236
192,32.252904,68.57350464048618
194,31.753296,67.30411423412711
198,32.070168,67.0586033402693
