,inundation,total_island_breached
14,11.052936,42.41613546036045
23,15.211152,43.58974358974359
211,17.88156,46.53587431603748
243,15.828048,45.646310180445
248,13.787496,42.487696931664296
283,11.812716,41.9218108355077
44,7.101756,38.53530182426704
74,7.379748,39.51294161684887
109,10.931436,43.803327057942774
171,5.566644,36.57231561911682
173,7.1766,39.7815723706664
18,15.143436,43.81103367792934
68,13.103856,43.72515991236472
119,14.90562,46.651473615836
135,15.948576,43.52148495557684
181,16.197732,46.53257147890037
