,inundation,total_island_breached
0,7.475328,39.44578392839449
1,5.721516,39.30486287721152
6,5.101704,38.66191058118924
10,6.860376,39.00320375202298
23,5.843016,37.45087029758562
26,4.93776,38.17749446774779
33,6.999372,40.11075513866411
37,6.71976,39.42486595985952
40,4.694112,37.334170052074725
47,7.190532,40.32874238971276
48,6.74568,40.21314308991424
67,6.416496,40.18561944710506
70,8.744436,40.47957195230703
72,7.286112,41.06417412557386
81,7.296804,40.27589699551915
83,7.49736,39.798086556351905
84,5.386176,39.71771751934912
94,8.29602,41.64987724455307
96,3.281796,36.17157137981526
100,7.332768,40.44434168951129
103,5.111424,37.575277163083086
131,7.78572,42.39521749182547
135,5.701752,37.81638427409144
142,5.716332,37.69968402858055
148,4.820796,36.77378868447997
151,8.283708,41.341612445090334
155,8.018676,42.56696502295471
172,4.605984,37.97602140238464
177,4.704156,39.68138631084101
182,7.036956,38.96907443493961
196,6.9255,41.158855456837415
204,3.180384,34.757957085136134
211,5.341464,37.97271856524755
220,3.303828,36.97636269555548
229,4.858704,37.00718917550175
235,5.614596,38.97568010921381
237,7.610436,40.87921524589622
239,6.824412,41.28106043091015
247,9.38142,43.58423886118175
248,5.002884,37.67656416862084
249,8.68482,43.52919157556341
250,9.205488,43.74277504376259
257,6.198768,38.930541335006765
267,5.034312,37.773447391309126
269,8.510832,42.18713875218813
273,8.583408,40.94527198863824
277,6.006636,40.69315542050621
279,3.448332,37.13710076956105
280,6.840288,40.56324382644691
284,8.004744,41.322896367980086
48,11.134584,40.74489986898746
101,9.675288,39.23770518875714
166,11.402856,39.564686065330115
264,5.918184,35.005669870418686
273,8.782668,38.94485362926754
307,9.119628,40.35516508680957
130,4.226256,35.506600169545635
1,6.809832,37.99253558807015
85,9.55638,38.054188547962696
130,9.025992,38.01455450231749
