,inundation,total_island_breached
3,4278096.0,35.20273915293236
16,2393064.0,33.996102652178216
32,3488832.0,34.138124649073546
52,3846528.0,35.07392850458544
58,4704804.0,36.01853992579626
82,2330208.0,33.1946141735751
98,2169180.0,32.804879391397215
102,925992.0,31.61255518490383
104,3145392.0,33.919036452312525
106,4371084.0,35.556142726602154
108,905904.0,31.45401900232299
109,4633200.0,35.302925212757756
118,6226956.0,37.05452984113353
123,6614460.0,37.476192048970056
125,1745064.0,32.49441270050974
126,4501980.0,35.10475498453171
139,2487996.0,33.73627946405962
143,957744.0,31.667602470522173
146,1475172.0,32.12779777829155
156,2421252.0,33.60416597857559
157,5839452.0,37.1954508923165
166,5020380.0,36.184782728363665
167,3441528.0,34.4827206570444
170,4787100.0,35.812663077583636
174,4135860.0,35.133379573053254
179,3261708.0,34.632449273926305
184,4081752.0,35.22916185002917
185,4351644.0,35.3315498012793
195,3549420.0,34.260329623146276
207,4293000.0,34.87025354779756
209,3932388.0,34.55648401977299
210,1584360.0,32.43716352346665
213,3834540.0,34.99355946758265
214,2319516.0,33.31351631051072
223,1053000.0,31.62246369631513
225,3312252.0,34.1898690975548
226,5268564.0,36.3532274223558
244,3309336.0,34.57079631403375
246,2217780.0,33.10984135372284
258,5477220.0,36.460019156455395
259,2757240.0,33.56343098721802
261,3626208.0,34.799793022206075
265,4181220.0,35.95248318305424
275,3565296.0,35.00456892470632
278,5208300.0,35.83468199183098
288,3384828.0,34.07537074346864
289,3900960.0,34.69850601666832
291,3428244.0,34.143629377635385
293,3919428.0,35.24897887285177
206,4466664.0,34.772269379396896
286,2020140.0,33.29039645055102
52,5064768.0,37.26150763505851
106,4339008.0,33.868392949543654
178,4136832.0,35.40971694685735
