,inundation,total_island_breached
68,24.371604,53.51476918673141
81,21.796452,50.94956567691648
85,24.394932,52.987416190507645
99,20.144376,46.54247999031168
103,24.572808,52.77493366802083
106,22.977756,53.97826733163787
161,19.269576,50.96718080831434
167,22.384836,53.69532428355958
259,21.638988,52.366482808732705
262,15.5925,45.6628243661305
266,21.580344,49.54475894793628
0,13.220496,45.95677687133247
23,10.419516,41.65758386453964
45,14.820408,47.86581673657672
49,13.179672,45.78723123162797
51,12.999528,46.38614569915557
72,11.235996,44.97473329590118
134,10.341108,43.36074688157127
147,13.469328,46.73294359855116
32,20.224404,50.20532637535643
46,22.985856,53.46742852109963
97,23.444316,51.90628750096333
101,21.751416,50.44423159494006
123,22.296384,52.792548799418704
170,23.997708,54.28322929396352
175,17.741268,47.23497484339047
186,21.788028,52.58226816835661
188,19.1808,46.865057084035186
190,20.507256,50.942960002642266
193,17.9496,49.5271438165384
195,19.428336,47.02359326661602
