,inundation,total_island_breached
4,31.536216,63.58842245488875
9,24.85242,54.88324470720348
12,26.348004,56.79118362673536
13,36.431856,72.20882738272176
17,28.703808,59.47198643634882
25,25.727544,57.97800310466691
38,22.300272,54.904162675738455
39,21.721608,53.46963041252436
42,27.74574,60.68522861137717
45,26.994384,56.398146007420365
47,34.934652,69.98932082659005
49,34.828704,69.7878477612269
51,24.359616,54.54195153636974
52,28.762776,61.2169853904504
53,31.229064,63.44640045799341
57,35.825328,71.94680230317843
60,32.233464,64.70588235294117
61,35.874576,70.25574968898283
62,27.10098,59.41804009644285
63,26.175636,55.58344618026885
64,33.479568,69.82638086115973
65,28.717416,58.786097257544235
66,31.762044,62.82216423908137
70,30.625452,64.48239037333069
71,35.349372,68.00651759861721
73,36.614916,70.73686296528719
74,32.116824,65.55911528002554
77,33.978204,66.04683423060409
79,32.30118,63.55319219209301
84,34.197228,67.83477006748797
86,25.70616,56.85063469520318
93,30.626424,64.2555955565831
94,32.99454,63.386949389525604
108,36.497952,71.09136748466933
110,29.284416,59.172529202585025
112,35.437824,70.19850051193976
114,31.8735,68.14193392123833
117,32.312844,63.16345740991511
121,27.623592,62.2452686858011
127,31.590324,65.27176844909778
130,26.416368,57.27449879446445
136,33.741036,65.72976186544241
138,34.899012,68.9522299655404
143,34.947936,66.68758463520163
153,23.60988,51.43398179035792
158,33.800004,68.15074148693728
160,34.479108,69.78234303266507
162,35.029584,70.49245301714173
164,32.686416,66.75694421508075
168,30.435912,64.78404949851922
170,36.159372,70.47593883145622
172,28.451412,59.79015974722286
181,33.14358,65.88279331946141
182,27.756108,60.92303288524843
188,29.95704,61.951316180599136
194,33.82236,65.34883464896346
195,30.821472,65.06919443802227
196,30.129408,62.800145324834034
197,29.600316,59.88924486133589
198,34.469712,65.66700795983749
199,26.915328,58.27415750129361
212,31.197312,64.54514427893561
213,34.4574,68.6891039402847
214,34.9029,68.19477931543196
223,30.996432,64.48569321046779
238,30.775788,61.58249936695621
241,29.981664,64.13779436535985
245,26.0658,58.224614944237096
246,35.064252,68.06266582994792
247,30.408696,61.61552773832722
250,35.0892,70.97136440202134
256,27.29376,58.372141669694265
260,26.091396,54.2402924111812
261,23.878476,54.36800211381577
267,31.845312,62.586561856634845
270,31.588056,65.03066133808943
271,27.92394,60.75348724554392
272,27.599292,57.701665730862814
277,32.505624,66.79657826072597
278,30.67146,64.05412249121996
279,28.025352,58.4976494809041
281,26.630856,57.33394986293226
284,34.830972,69.95298961808193
291,27.52704,59.08885732844513
292,35.890128,69.61940306723476
293,25.771932,54.87113430436745
296,33.649344,67.5309090508747
297,34.741548,66.77125650934153
298,21.09888,51.60242648435006
300,36.612324,73.8481355484361
301,30.947184,60.346137331968166
304,36.600336,69.13939073664278
311,27.86886,59.93328268983057
6,20.808576,56.69099756690997
7,17.184312,52.313637414539095
9,17.188524,52.28060904316808
12,17.251056,51.34480518765619
13,16.605,49.833206724576414
14,17.415,52.054915172132866
16,14.996016,47.87682619370039
17,20.163816,54.41534277944755
19,15.66702,50.15248098116282
20,16.826616,51.249022910680274
22,14.879052,49.45448139952219
26,17.992368,52.697867468155145
28,19.500912,55.274080435093744
31,17.120484,52.55694641697218
35,18.971496,55.215730312338295
37,18.24444,54.29533969679955
39,21.830796,59.0932611112946
55,20.989368,55.61537360592749
56,16.236612,50.889013662736296
60,19.75752,53.73495832920479
63,19.082304,51.98225275511664
64,18.492624,52.05051138928339
67,16.844112,51.43508273607028
70,15.61032,48.943642588983934
71,15.352416,50.36386255793727
73,20.341368,55.0660016954564
75,15.089004,47.21625876628023
79,16.928352,52.5030000770662
80,14.51844,48.18178815602603
83,20.167704,56.556682190001204
87,17.524512,52.166110689081925
88,16.095996,49.61742136495249
97,20.534796,56.8264138895311
98,20.54484,55.07150642401824
100,12.71214,46.44449582191102
106,20.006028,55.86969206548426
107,13.802076,47.83168741949334
110,18.955296,53.81202452907047
112,23.851908,52.63181072541313
