,inundation,total_island_breached
4,4.74822,35.904041571710096
13,4.029588,35.6310070350431
14,4.45014,36.38955863086391
17,7.618536,39.63074280807213
18,5.646996,37.211965078002
25,4.845096,36.47763428785326
29,6.331284,38.63108410124297
42,4.371408,36.0702843742775
44,4.14234,35.75211106340346
59,6.228252,37.81638427409144
64,2.548908,34.49483105988044
73,5.277636,37.258204797921415
75,2.703456,34.28675232024309
76,5.176872,36.926820138498975
78,6.634872,37.886844799682926
79,2.936412,34.38143365150664
90,4.180248,35.69706377778511
95,6.65496,37.69417930001871
99,5.419872,37.58738756591912
116,8.18262,40.186720392817435
122,3.69684,34.53886888837511
132,4.508136,36.13964395415662
133,4.941972,35.86771036320199
134,4.033476,35.36347722693794
140,4.41612,35.6574297321399
158,5.338872,37.08645726679217
163,4.056156,35.15870132443769
164,7.494768,39.63624753663397
168,6.470604,38.13675947639022
175,5.97294,37.9308826281776
186,5.538132,37.35949180345917
191,3.24486,35.52641719236824
194,6.555168,38.11253867071815
199,7.421544,38.7863174466867
203,4.061988,36.277262168202476
206,2.590704,33.88820997236626
212,3.507624,35.38439519547291
230,6.230844,37.58188283735729
232,4.323132,36.002025740110746
243,7.660656,38.92503660644493
245,7.861536,39.15953804317909
254,4.107024,35.21925333861787
255,7.332444,38.235844590503234
264,6.105132,38.07180367936057
270,7.299072,38.86778742940185
271,4.360392,36.32900661668373
274,6.228252,37.78555779414517
283,3.849768,35.49889354955907
56,9.141984,38.13896136781495
210,9.32472,39.00760753487245
159,3.487212,34.60822846825423
166,4.239864,34.89667624489436
124,6.584652,37.94629586815074
