,inundation,total_island_breached
5,3.203388,33.88270524380443
7,5.454864,36.07468815712697
8,3.91554,34.865849764948095
9,5.27148,36.567911836267356
15,4.426488,35.300723321333024
21,2.010096,32.930387202607044
22,4.200012,35.49559071242197
27,2.792232,33.93444969228567
36,2.01852,33.10433662516101
38,4.246344,35.0420010789268
45,3.644028,34.89667624489436
46,6.036768,37.16132157523312
49,6.517908,37.56206581453468
50,1.978668,33.130759322257816
51,5.508,36.32790567097136
55,6.533136,37.85932115687375
63,4.51818,35.16090321586242
69,5.663196,36.42699078508439
74,6.333228,36.95324283559578
92,5.457132,36.61525250189913
97,4.309848,35.58917109797316
107,5.834268,36.76167828164393
111,4.922208,35.57155596657528
112,1.97154,33.09663000517444
115,4.64778,35.553940835177414
119,5.182056,36.330107562396094
121,4.452408,35.295218592771185
127,5.956416,36.68681397320298
128,3.191724,34.02472724069976
145,2.855736,33.65591042705684
150,5.21964,36.69672248461428
152,4.707072,35.74110160627979
153,6.282684,37.77675022844624
154,4.7061,35.53302286664244
159,6.043896,37.61270931730356
176,7.44876,38.61126707842036
193,6.317352,37.02260241547489
200,3.688092,34.42216864286422
221,3.321648,34.43868282854972
224,3.178764,34.363818520108765
228,2.388204,33.462143981680256
242,4.157892,35.22695995860444
252,6.965352,37.86702777686032
253,2.596536,33.606367870000334
262,4.07916,35.67174202640067
263,6.470928,37.6248197201396
282,5.460048,36.11982693133401
285,6.079536,36.97195891270601
290,5.41242,36.213407316885196
292,2.578392,33.71646244123702
59,6.35688,37.0622364611201
105,4.300776,35.85559996036595
118,8.443116,37.330867214937626
123,4.259304,34.39024121720558
249,5.02524,35.65963162356464
50,4.002372,34.48492254846913
30,6.500412,37.16792724950732
33,4.520448,35.45375477535202
76,6.017004,35.60128150080919
179,6.82344,36.36533782519184
