,inundation,total_island_breached
2,2.92248,33.92564212658673
11,1.185516,31.755678127511526
12,0.689472,31.266858231220617
19,0.344412,31.121533397188177
20,2.187648,35.62219946934417
24,0.860868,32.26211315520031
28,0.9963,31.58503154209466
30,0.832032,31.42209157666435
31,0.833328,32.168532769649126
34,0.526176,31.13034096288712
35,0.461376,30.9211612775374
39,0.360936,31.20190243419097
41,1.533492,32.40633704352038
43,2.849904,34.08858209201704
53,0.808704,32.20156114102013
54,0.477576,31.01584260880096
56,1.008612,32.53845052900441
57,2.778948,33.72857284407305
60,1.225044,32.21477248956854
61,3.480084,34.19427288040427
62,0.214164,30.83088372912331
65,3.137616,34.15133599762195
66,1.573668,32.44817298059033
68,1.771632,34.43978377426209
71,1.85004,32.7454283229294
77,1.815372,34.16674923759509
80,1.0773,32.571478900375425
85,1.250964,31.94063700718917
86,1.248372,33.298103070537586
87,1.021572,31.7567790732239
88,1.274616,33.2045226849864
89,1.73502,32.45477865486453
91,1.604772,32.55386376897755
93,2.398572,33.40929858748665
101,2.599776,35.21595050148077
105,2.582928,35.80825929473418
110,0.864108,32.10908170118131
113,2.070684,34.58951239114399
114,2.23884,35.3414583126906
117,1.278828,31.885589721570827
120,1.317708,32.04412590415166
124,2.535624,35.24567603571468
129,2.665548,35.65632878642754
130,0.912708,32.28303112373529
136,0.734184,31.434201979500394
137,3.0699,34.28124759168125
138,2.626668,35.300723321333024
141,1.75446,33.72857284407305
144,2.620188,35.67174202640067
147,2.48994,35.37228479263687
149,2.370384,35.4977926038467
160,0.470124,31.352731996785238
161,3.130812,36.2365271768449
162,1.8144,32.622122403144296
165,3.673188,34.46620647135889
169,2.350296,33.6074688157127
171,0.416988,31.27566579691955
173,1.280124,32.91277207120917
178,2.443284,33.433519393158726
180,1.789452,32.43496163204192
181,1.111968,31.64998733912431
183,0.35478,30.780240226354437
187,0.532656,31.00042936882782
188,1.78848,34.20418139181557
189,1.949832,32.58579119463619
190,1.208844,31.7732932589094
192,3.575664,34.45299512281049
197,2.472444,33.55462342151908
198,2.54988,35.37338573834924
201,0.30132,31.109422994352148
202,1.912896,32.994242053924324
205,0.435132,30.982814237429952
208,0.177552,30.80666292345124
215,3.283416,36.4732305050038
216,0.249156,30.93437262608581
217,2.78316,35.95358412876661
218,3.483,36.60314209906309
219,3.437316,34.31537690876463
222,2.842452,35.695962832072745
227,1.992276,32.92708436546994
231,0.829764,32.104677918331845
233,3.999456,34.816307207891576
234,3.267216,34.00270832645242
236,1.832544,32.96561746540278
238,2.92086,35.74110160627979
240,2.941272,35.74990917197873
241,0.26406,30.676751329391948
251,0.673272,31.16777311710759
256,0.952236,31.60264667349253
260,1.791396,32.54505620327861
266,1.761588,32.46799000341293
268,0.56214,31.57732492210809
272,1.170288,32.7454283229294
276,0.24462,30.70317402648875
281,2.451384,35.23026279574154
286,0.887436,32.20156114102013
287,2.435184,34.95722825907454
294,1.761588,33.74178419262146
295,0.162324,30.70977970076295
296,0.31914,31.06208232872037
21,1.805976,32.67166496020081
83,0.961632,31.723750701852886
174,3.728268,34.11390384340148
185,0.53946,31.13804758287369
202,0.423792,31.01364071737623
290,1.576584,32.4723937862624
27,2.5434,33.09773095088681
52,3.375108,34.15243694333432
126,5.381964,35.22145523004261
197,5.978124,35.26879589567438
