,inundation,total_island_breached
0,48.25332,94.2783851328291
1,48.339504,95.59401525910758
5,45.945144,89.79093040922153
6,44.709732,87.07379639109996
8,46.56366,91.325648732261
10,46.669932,91.66143717453292
11,47.844108,95.20758331406678
15,47.173428,92.04126344529952
16,43.647984,85.41687309398773
18,46.242576,90.50984795939712
19,44.186472,86.7225947088549
22,48.576672,96.61679382589644
26,48.204396,95.1569398112979
27,46.631376,91.1594059296936
29,45.935424,89.33183604716451
31,44.628084,85.8044059847409
32,42.608592,80.80611245059505
33,44.27622,84.61318272395988
34,46.496268,90.04855170591539
35,42.15564,82.76029109004635
36,47.008836,91.91795752551441
37,46.131768,89.63679800949015
41,47.56806,93.06184012066365
43,47.10312,92.47613700168445
44,48.092292,95.72172496174214
54,43.79832,83.83261221389174
55,46.368612,89.75239730928868
67,44.89182,87.43710847618104
76,47.91636,93.96681749622925
78,48.521592,95.65897105613722
80,44.162496,85.7240369477381
82,48.436056,95.32318261386533
87,46.561068,90.87536193590294
88,47.729412,94.73637854917374
90,48.216708,94.78261826909315
91,46.364076,90.45810351091588
92,44.272656,84.68804703240083
96,45.64836,89.37807576708391
97,45.245952,87.12554083958119
100,46.753524,92.1381466679878
102,49.066236,97.38195109599145
107,44.097696,85.34971540553336
109,47.648412,93.56937609406481
111,46.789812,91.65042771740926
113,42.949116,82.88800079268091
115,48.66642,95.94851977848971
116,46.991664,92.64127885853948
120,47.65392,93.75433497374243
124,43.574112,85.52806861093678
125,47.084976,92.40347458466825
126,47.95848,94.0218647818476
128,48.30354,94.81674758617652
131,47.701548,94.00094681331264
133,48.228696,95.6964032103577
137,47.943576,94.53270359238586
139,45.996336,90.3876429853244
140,46.35792,91.11756999262366
144,44.413272,84.66162433530403
146,46.953432,92.19759773645562
147,47.329596,92.2911781220068
148,45.068724,88.17143926632977
150,48.353112,95.75585427882552
151,46.71918,91.71097973158943
154,47.415132,92.08089749094472
156,45.03438,86.16221334126014
157,43.668396,83.28213935770827
159,46.120752,89.36486441853552
165,45.937044,91.25408726095716
171,44.653032,86.77433915733616
175,48.653136,96.5782607259636
176,45.541116,87.97987471237793
177,47.745612,93.84461252215652
179,48.6405,95.79438737875836
180,43.972956,84.99521088615121
184,48.490164,96.0861379925356
186,47.684376,94.19911704153868
189,48.371256,95.63585119617753
190,42.496164,80.57931763384748
191,46.070856,90.97114421287887
192,47.225592,92.83064152106661
193,48.519648,95.68209091609691
201,47.292012,92.1249353194394
203,47.192868,92.68311479560944
204,47.913768,94.44242604397176
205,46.755792,92.00933601964087
208,48.09132,93.99984586760029
215,46.837764,92.21521286785348
216,47.51622,93.22257819466924
218,45.649332,88.17033832061742
220,47.646792,94.00975437901155
222,42.265152,80.27986040008366
224,46.539684,91.02949433563433
225,48.172644,95.59731809624468
226,48.684564,95.56979445343549
228,47.313072,92.70953749270625
229,46.610964,90.55939051645365
230,45.0603,86.46277152073631
232,43.895196,85.18567449439068
233,43.110792,81.80026642886239
234,44.793324,87.75748367847982
235,47.3607,92.01263885677797
236,46.658592,92.58182779007169
240,47.066184,91.43794519492245
242,46.984536,91.25188536953243
244,48.592872,96.27990443791215
251,44.5743,86.46277152073631
252,45.644472,88.94980788497318
257,46.968336,92.83834814105316
265,44.966016,87.09361341392255
269,47.14848,92.66990344706105
274,48.311964,94.98299038874391
275,45.69372,87.37655646200085
276,43.973604,85.15044423159493
280,48.08808,95.20317953121732
282,47.791296,94.1748962358666
285,47.342232,92.72935451552884
289,47.171484,92.77999801829772
294,48.111408,95.1734539969834
295,45.391104,88.10207968645067
299,48.282804,95.4233686736907
302,44.987076,88.63383646552388
303,47.384352,93.19945833470952
306,48.612636,96.56394843170284
309,47.02374,92.49375213308232
310,48.89484,96.89973687397475
312,46.158336,90.2147945084828
